,0
PH,9.389928230148046
DELL,10.276289924602018
IBM,11.109888529379356
GE,11.745077594708393
UBER,12.721725648235156
WFC,12.729008929799466
MAC,12.94941128102157
MFG,13.019338379967724
MLM,13.536680079699865
PNR,13.629165107049719
LLY,13.7061154593169
HLT,14.80489994833848
TDG,20.630775088145118
JPM,29.85648742199687
